"","BInt_390","BInt_391","BInt_392","BInt_398","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000121134",43.4362096825917,38.7739786994824,74.2487924284888,39.8669205937409,98.8715254746943,89.8961629180197,110.974741772246,71.7432367587673,"Gm57446"
"ENSMUSG00000121135",8.47535798684717,42.9283335601412,19.8572351843633,37.7686616151229,14.2517514197758,16.4947087922972,17.2202185508658,17.1779580971696,"Hmga2-ps1"
"ENSMUSG00000121137",23.3072344638297,26.3109141175059,30.217531802292,28.3264962113422,23.1590960571356,39.5873011015133,21.0469337843915,26.2721712074359,"Gm56555"
"ENSMUSG00000121141",3638.04741585415,5318.95900659685,3557.03517215551,3855.55087321046,3038.29525580344,2855.23409194664,3120.68627294024,3587.16183793837,"Gm56878"
"ENSMUSG00000121151",15.8912962253384,24.926129163953,11.2236546694227,11.5404243823987,8.90734463735985,4.94841263768916,17.2202185508658,18.1884262205326,"Gm56909"
"ENSMUSG00000121163",10.594197483559,13.8478495355294,15.540444926893,12.5895538717076,12.4702824923038,4.1236771980743,15.3068609341029,1.01046812336292,"Gm56872"
"ENSMUSG00000121179",5356.42624768741,11285.9973714565,7427.46931700337,7550.58493455666,4565.01412664692,3710.48474282725,4934.54929363143,6872.19370699122,"Gm56999"
"ENSMUSG00000121182",13.7724567286266,30.4652689781647,18.9938771328692,17.8352013182525,7.12587570988788,6.59788351691888,7.65343046705147,33.3454480709764,"Gm56739"
"ENSMUSG00000121184",143.021666028046,451.439894858259,142.454078496519,180.450272161143,129.156497241718,99.792988193398,120.541529856061,86.9002586092111,"Gm57395"
"ENSMUSG00000121189",10.594197483559,5.53913981421177,14.677086875399,30.4247551899601,5.34440678241591,9.07208983576346,21.0469337843915,19.1988943438955,"Gm34102"
"ENSMUSG00000121192",25.4260739605415,31.8500539317177,19.8572351843633,13.6386833610166,23.1590960571356,22.2678568696012,26.7870066346801,24.2512349607101,"Gm57399"
"ENSMUSG00000121195",90.0506786102512,19.3869893497412,37.9877542657385,48.2599565082126,69.4772881714068,66.8035706088036,85.1444139459476,20.2093624672584,"Gm56876"
"ENSMUSG00000121196",19.0695554704061,23.5413442104,9.49693856643462,19.9334602968704,10.6888135648318,9.89682527537832,11.4801457005772,9.09421311026628,"2810461L16Rik"
"ENSMUSG00000121198",14.8318764769825,55.3913981421177,13.8137288239049,28.3264962113422,14.2517514197758,24.7420631884458,16.2635397424844,14.1465537270809,"Gm57453"
"ENSMUSG00000121201",47.6738886760153,130.169785633977,45.757976729185,49.3090859975216,26.7220339120795,8.2473543961486,11.4801457005772,19.1988943438955,"Gm57239"
"ENSMUSG00000121206",11.6536172319149,19.3869893497412,18.9938771328692,15.7369423396345,10.6888135648318,7.42261895653374,9.56678808381433,1.01046812336292,"Gm57456"
"ENSMUSG00000121207",18.0101357220502,74.7783874918589,10.3602966179287,12.5895538717076,8.90734463735985,17.3194442319121,1.91335761676287,12.125617480355,"Gm57242"
"ENSMUSG00000121208",14.8318764769825,5.53913981421177,40.5778284202206,32.5230141685781,49.8811299692151,32.1646821449795,58.3574073112674,43.4501293046056,"Gm56917"
"ENSMUSG00000121225",99.5854563454542,166.174194426353,101.012892024805,78.6847116981727,101.543728865902,109.689813468776,110.018062963865,115.193366063373,"Gm57457"
"ENSMUSG00000121226",88.9912588618953,91.3958069344942,45.757976729185,56.6529924226844,86.4012429823905,112.988755227236,61.2274437364117,64.6699598952269,"6720407P12Rik"
"ENSMUSG00000121230",18.0101357220502,0,3.45343220597623,12.5895538717076,9.79807910109583,17.3194442319121,15.3068609341029,17.1779580971696,"Gm53374"
"ENSMUSG00000121238",90.0506786102512,76.1631724454118,64.7518538620542,89.1760065912624,85.5105085186545,113.813490666851,91.8411656046176,101.046812336292,"Stk35os1"
"ENSMUSG00000121241",24.3666542121856,13.8478495355294,17.2671610298811,45.1125680402857,16.9239548109837,18.9689151111418,21.0469337843915,14.1465537270809,"Gm57475"
"ENSMUSG00000121247",197.052073194197,150.941559937271,149.360942908472,184.646790118379,185.272768457085,208.65806622256,176.985579550565,162.68536786143,"Gm57404"
"ENSMUSG00000121272",21.1883949671179,36.0044087923765,10.3602966179287,16.7860718289435,8.90734463735985,13.1957670338378,13.3935033173401,7.07327686354044,"Gm41914"
"ENSMUSG00000121275",25.4260739605415,60.9305379563294,13.8137288239049,18.8843308075615,18.7054237384557,12.3710315942229,22.003612592773,10.1046812336292,"Gm57182"
"ENSMUSG00000121277",77.3376416299804,63.7001078634353,47.4846928321731,81.8321001660997,59.679209070311,79.1746022030265,63.1408013531746,92.9630673493887,"Gm57184"
"ENSMUSG00000121307",4.23767899342358,1.38478495355294,6.90686441195245,12.5895538717076,13.3610169560398,10.7215607149932,4.78339404190717,14.1465537270809,"ENSMUSG00000121307"
"ENSMUSG00000121309",148.318764769825,131.554570587529,153.677733165942,132.19031565293,150.534124371381,124.535051381844,109.061384155483,51.5338742915089,"ENSMUSG00000121309"
"ENSMUSG00000121318",47.6738886760153,18.0022043961882,26.7640995963157,41.9651795723588,32.0664406944954,32.1646821449795,22.003612592773,39.4082568111539,"ENSMUSG00000121318"
"ENSMUSG00000121319",12.7130369802708,11.0782796284235,6.04350636045839,13.6386833610166,18.7054237384557,12.3710315942229,14.3501821257215,17.1779580971696,"ENSMUSG00000121319"
