"","log2FoldChange","pvalue","padj","BInt_390","BInt_391","BInt_392","BInt_398","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000017713",-0.455051988511016,0.0344026187966976,0.154829426953753,111.239073577369,142.632850215953,118.280053054686,167.860718289435,97.9807910109583,84.9477502803306,116.714814622535,93.9735354727516,"Tha1"
"ENSMUSG00000017715",-0.124872515264469,0.347892386771043,0.56247302621641,1732.15128856189,1755.90732110513,1320.07446073441,1647.13329821508,1484.85435104789,1568.64680614746,1422.58138806319,1439.91707579216,"Pgs1"
"ENSMUSG00000017716",-0.823646926342037,0.0795310113734299,0.242138475563997,25.4260739605415,23.5413442104,32.8076059567741,17.8352013182525,20.4868926659276,4.94841263768916,18.1768973592472,13.136085603718,"Birc5"
"ENSMUSG00000017718",0.322501006541387,0.398786994940203,0.608917732508955,25.4260739605415,12.4630645819765,31.080889853786,17.8352013182525,30.2849717670235,29.690475826135,22.9602914011544,27.2826393307988,"Afmid"
"ENSMUSG00000017721",-0.255697295356394,0.107015819607672,0.285549052258111,2158.03802740096,3143.46184456518,1989.17695064231,2290.24967516148,2012.16915357959,1929.88092869877,1992.76195785853,2085.60620662107,"Pigt"
"ENSMUSG00000017723",-0.401369134768825,0.328569181479299,0.544574718916399,18.0101357220502,40.1587636530353,18.1305190813752,25.1791077434153,16.0332203472477,16.4947087922972,18.1768973592472,25.261703084073,"Wfdc2"
"ENSMUSG00000017724",-0.120936092388323,0.590702927792888,0.762578536968282,274.389714824177,405.741991391012,198.572351843633,235.005005605209,247.624180918604,266.3895469956,291.787036556337,214.219242152939,"Etv4"
"ENSMUSG00000017734",-0.346739600564717,0.0362565906575793,0.159133703231266,1922.84684326595,3221.00980196414,2257.68130465696,2375.22916379551,1862.52576367194,1904.31413007071,1844.4767425594,2073.48058914071,"Dbndd2"
"ENSMUSG00000017737",0.208474419866016,0.593702357839978,0.764560788811794,34.9608516957446,22.1565592568471,22.4473093388455,39.8669205937409,53.4440678241591,28.0410049469052,37.3104735268759,19.1988943438955,"Mmp9"
"ENSMUSG00000017740",0.377059090212984,0.0491665778522514,0.185825102166821,10687.4264214143,5461.5918568128,7242.71069398364,6753.24652268184,9356.27480708278,10685.2723556501,10188.6293092623,8921.42306117122,"Slc12a5"
"ENSMUSG00000017747",-0.250561283131067,0.210842322136506,0.423227863465227,153.615863511605,245.106936778871,166.628103938353,179.401142671834,140.736045270286,168.246029681431,140.631784832071,173.800517218422,"Ghdc"
"ENSMUSG00000017754",-0.260729630954247,0.138438498774127,0.332568725833502,967.250230248933,974.888607301271,1029.98615543241,1398.48960924886,842.634802694242,796.694434667955,866.751000393579,1143.84991564683,"Pltp"
"ENSMUSG00000017756",0.207710159946024,0.439174859436491,0.644621602395466,110.179653829013,84.4718821667294,58.7083475015958,57.7021219119933,100.652994402166,87.4219565991751,69.8375530118446,100.036344212929,"Slc12a7"
