"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000073656",-0.154085856954665,0.508804603762967,0.999725012385107,59.0447543055417,73.3544975660476,85.0810560498717,65.1286408366572,52.6249080225881,54.3052848480474,82.750554184949,65.5107198432716,"Gm10558"
"ENSMUSG00000073664",-0.0942326048713779,0.607723004281892,0.999725012385107,355.404001877588,401.519355098366,361.099830909339,216.359552609912,298.207812127999,358.923992042563,350.704729640974,242.285678150513,"Nbeal1"
"ENSMUSG00000073676",0.158575473649627,0.0530221778000355,0.907755941382254,987.864158573486,1062.67502395024,1062.52388601817,1066.34350929171,1175.28961250447,1103.07609847596,1146.68625084858,1242.62397163031,"Hspe1"
"ENSMUSG00000073678",0.0981832207857218,0.453254140951916,0.999725012385107,574.550878434694,698.798108392348,621.28957208511,449.277234246093,596.415624255998,610.934454540533,688.602825896183,615.592795987568,"Pgap1"
"ENSMUSG00000073680",0.0107729409493487,0.90798309938287,0.999725012385107,1261.51388525879,1330.03286376334,1201.02793075052,1079.59001251272,1128.20416848426,1271.93159355036,1239.28806148412,1270.69999442028,"Tmem88b"
"ENSMUSG00000073684",0.0464751545704328,0.741276814890468,0.999725012385107,299.765675705058,355.190198740862,408.586931960431,443.757857904003,380.376528163268,342.802110603299,388.139504153213,447.136659247727,"Faap20"
"ENSMUSG00000073700",-0.000845212940017757,0.994051744977518,0.999725012385107,363.352334187949,385.11111222175,351.206684857029,352.136210625316,325.905132139888,403.895556057353,351.689855286033,369.147707053356,"Klhl21"
"ENSMUSG00000073702",0.0887842361846184,0.54777288527981,0.999725012385107,3955.99853847129,3676.41159511941,5272.05753127636,6116.57286230368,4636.53136999013,4629.52553329604,4965.03325109694,5997.87035009509,"Rpl31"
"ENSMUSG00000073705",0.284230601956871,0.217137219137582,0.991445290930587,70.3995147489151,48.2595378723997,67.2733931557126,82.7906451313439,72.01303203091,67.0330859843085,96.5423132157738,91.5070372413953,"Cenps"
"ENSMUSG00000073725",0.122416304633555,0.133827158393586,0.97434504669021,2585.47895295612,2546.17321814781,2853.1833214864,2452.81084642461,2745.72765717854,2727.99204353863,2814.50396793332,3076.92412724192,"Lmbrd1"
"ENSMUSG00000073733",0.291977671222307,0.265625770086914,0.993211295874261,38.6061855074696,46.3291563575037,44.519157235398,39.739509663045,48.931932021003,50.0626844692937,68.9587951541241,39.514402445148,"Cplane2"
"ENSMUSG00000073739",-0.503825148559948,0.415420457021601,0.999725012385107,11.3547604433734,13.5126706042719,6.92520223661747,14.3503784894329,2.76973200118885,13.5763212120119,12.8066333857659,3.11955808777484,"Gm16287"
"ENSMUSG00000073752",0.275157137518094,0.415439009087756,0.999725012385107,19.3030927537348,20.2690059064079,31.6580673673941,26.49300644203,31.3902960134736,30.5467227270267,35.464523222121,20.7970539184989,"Gm10570"
"ENSMUSG00000073755",0.0371151316721255,0.620439804708059,0.999725012385107,1842.8776199595,1733.4826003766,1794.61669388916,1656.9167778953,1804.01877677434,1880.32048786364,1757.46415078511,1767.74958307241,"5730409E04Rik"
"ENSMUSG00000073758",0.284477934587957,0.448152406005509,0.999725012385107,24.9804729754215,20.2690059064079,19.7862921046213,15.4542537578509,32.3135400138699,23.7585621210207,14.7768846758837,27.0361700940486,"Sh3d21"
"ENSMUSG00000073771",0.124449997680035,0.46787625621158,0.999725012385107,122.631412788433,135.126706042719,116.739123417266,111.49140211021,120.021720051517,134.066171968617,160.575480144603,115.423649247669,"Btbd19"
"ENSMUSG00000073775",0.0478456529194127,0.761844927681144,0.999725012385107,271.378774596624,224.889446485383,234.467561439763,165.581290262688,211.422876090749,245.222301891964,250.221913844965,219.408918840164,"Kti12"
"ENSMUSG00000073779",-0.323571267995664,0.215530021487479,0.991445290930587,61.3157063942164,68.5285437788076,67.2733931557126,76.1673935208363,46.1622000198141,73.8212465903144,33.4942719320032,64.4708671473467,"Lrp8os2"
"ENSMUSG00000073787",-0.104986129629431,0.767448885948478,0.999725012385107,30.6578531971082,23.1645781787519,33.6366965778563,47.4666365419705,21.2346120091145,43.2745238632878,39.4050258023567,20.7970539184989,"Gm10575"
"ENSMUSG00000073791",-0.0275650992548567,0.935720178021424,0.999725012385107,39.7416615518069,29.9209134808878,42.5405280249359,16.5581290262688,32.3135400138699,36.4863632572819,34.4793975770621,22.8767593103488,"Efcab7"
"ENSMUSG00000073792",0.0864389317366328,0.672344766615801,0.999725012385107,196.43735567036,187.247006944911,196.873606440982,112.595277378628,212.346120091145,173.946615528902,216.727641912962,133.101145078393,"Alg6"
"ENSMUSG00000073795",0.379194643087732,0.398004640586309,0.999725012385107,11.3547604433734,8.68671681703195,12.8610898680039,12.1426279525971,15.6951480067368,14.4248412877626,13.7917590308248,14.5579377429492,"Spef1l"
"ENSMUSG00000073805",0.0220697394083748,0.888903487979426,0.999725012385107,193.030927537348,252.879978451375,182.033887362516,175.516167678449,202.190436086786,188.371456816664,236.43015481414,190.293043354265,"Insyn2a"
"ENSMUSG00000073838",0.143102802588504,0.263565173908833,0.993211295874261,926.54845217927,971.947092750131,1003.1650097043,1226.40542321231,1020.18462043789,1056.40749430967,1064.92082230869,1418.35907724163,"Tufm"
