"","BCH_309","BCH_313","BCH_314","BCH_317","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000038523",37.4707094631322,39.5728210553678,34.6260111830873,30.9085075157017,25.8508320110959,44.9715640147893,34.4793975770621,12.4782323510994,"1700003F12Rik"
"ENSMUSG00000038524",151.018313896866,141.883041344855,177.087314336361,164.47741499427,139.409844059839,193.462577271169,154.66472627425,126.862028902843,"Fchsd1"
"ENSMUSG00000038525",315.662340325781,372.563632374926,467.945808274295,362.071088041077,396.071676170005,448.018599996391,472.86030962828,448.176511943652,"Armc10"
"ENSMUSG00000038526",270.243298552287,185.316625430015,210.724010914217,249.475810662449,173.569872074501,211.281498861934,179.292867400723,207.970539184989,"Car14"
"ENSMUSG00000038527",12.4902364877107,3.86076302979198,8.9038314470796,2.20775053683584,11.0789280047554,21.2130018937685,13.7917590308248,6.23911617554968,"C1rl"
"ENSMUSG00000038530",4895.03722713827,4754.52967118882,5717.24910363034,5348.27567548481,4677.15410600757,5937.94349010368,5933.41176018985,5875.16773197595,"Rgs4"
"ENSMUSG00000038533",870.91012600674,888.940687609603,776.611965106388,764.985561013617,929.706708399056,873.127157947512,867.895693296905,820.443777084783,"Cbfa2t2"
"ENSMUSG00000038534",525.725408528189,398.623782826022,382.864752224423,493.432244982809,440.387388189027,452.261200375145,417.693273504981,378.50638131668,"Osbpl7"
"ENSMUSG00000038535",538.215645015899,616.756894009269,389.78995446104,358.759462235823,592.722648254413,550.689529162231,547.729858652758,565.679866583171,"Zfp280d"
"ENSMUSG00000038537",11.3547604433734,18.3386243915119,24.7328651307767,14.3503784894329,16.6183920071331,22.0615219695193,8.86613080553025,36.3948443573731,"Mc3r"
"ENSMUSG00000038538",1184.30151424385,1361.88415875912,1422.63440232227,1319.13094575941,1404.25412460275,1247.32451135359,1284.60384115683,1152.15678708484,"Ubn2"
"ENSMUSG00000038539",639.273012961923,706.519634451932,707.359942740213,963.683109328842,766.292520328914,746.697666660652,728.992977343598,961.863743730575,"Atf5"
"ENSMUSG00000038542",454.190417734936,485.490950996341,522.358111562003,527.652378303765,520.709616223503,580.387731813507,485.666943014046,427.379458025153,"Pcid2"
"ENSMUSG00000038543",14.7611885763854,34.7468672681278,10.8824606575417,27.596881710448,22.1578560095108,26.304122348273,21.6727641912962,28.0760227899736,"BC028528"
"ENSMUSG00000038544",401.958519695419,444.952939183526,391.768583671502,356.551711698988,416.383044178723,454.806760602397,424.589153020393,418.020783761828,"Inip"
"ENSMUSG00000038545",832.303940499271,901.488167456427,820.141807736554,974.721862013022,761.676300326933,790.82071059969,752.635992825012,776.769963855935,"Cul7"
"ENSMUSG00000038546",1179.7596100665,1341.61515285271,1176.29506561974,1167.90003398616,1211.29612851992,1185.38254582378,1381.1461543726,1415.23951915385,"Ranbp9"
"ENSMUSG00000038550",311.120436148431,189.177388459807,336.366965778563,270.44944076239,334.214328143454,340.256550376047,294.552567872616,314.035514169334,"Ciart"
"ENSMUSG00000038552",1654.38859659951,1518.2450614657,1832.21064888794,1713.21441658461,1830.79285278583,1810.74184165208,1812.63118690841,1689.76063087804,"Fndc4"
"ENSMUSG00000038555",2232.34590316721,1968.98914519391,2538.58127702292,2962.80122043369,2256.40833696851,2363.12841096581,2617.47883892154,2695.29818783746,"Reep2"
"ENSMUSG00000038563",266.836870419275,246.123643149239,252.275224333922,272.657191299226,237.273708101845,274.92050454324,246.281411264729,364.988296269656,"Efl1"
"ENSMUSG00000038564",1227.44960392867,1240.27012332067,1078.35291970186,1355.5588296172,1205.75666451754,1356.78360112543,1308.24685663824,952.505069467251,"Ift172"
"ENSMUSG00000038569",88.5671314583126,78.1804513532876,69.2520223661747,100.452649426031,78.475740033684,72.124206438813,79.7951772497722,62.3911617554968,"Rad9b"
"ENSMUSG00000038570",62.4511824385537,42.4683933277118,24.7328651307767,40.843384931463,48.0086880206067,50.9112045450444,46.3009053177691,36.3948443573731,"Saxo2"
"ENSMUSG00000038576",2459.44111203468,2177.47034880268,2426.78872663181,2829.23231295512,2421.66901303945,2238.39595983045,2358.39079427105,2161.85375482796,"Susd4"
"ENSMUSG00000038578",180.540691049637,196.898914519391,165.215539073588,137.98440855224,181.879068078068,173.946615528902,219.683018848138,160.137315172442,"Susd1"
"ENSMUSG00000038582",801.646087302162,1001.86800623102,820.141807736554,820.179324434513,882.621264378846,829.004114008474,873.806447167259,917.150077805803,"Pptc7"
"ENSMUSG00000038583",13.6257125320481,37.6424395404718,24.7328651307767,28.7007569788659,25.8508320110959,12.7278011362611,37.4347745122388,36.3948443573731,"Pln"
"ENSMUSG00000038587",532.538264794213,632.199946128437,508.507707088768,691.025918029617,498.551760213992,641.48117726756,443.306540276512,614.552943291643,"Akap12"
"ENSMUSG00000038593",543.893025237586,541.472014928325,400.672415118582,395.187346093615,552.099912236977,469.23160189016,441.336288986395,281.80008059566,"Tctn1"
"ENSMUSG00000038594",334.965433079515,318.512949957838,311.634100647786,204.216924657315,248.3526361066,261.344183331228,325.091462869442,246.445088934212,"Cep85l"
"ENSMUSG00000038602",874.316554139752,940.095797754347,983.37871759968,864.33433517123,1014.64515643551,963.918806052842,1004.82815796009,1154.23649247669,"Slc35f1"
"ENSMUSG00000038604",2058.6180683836,2103.15066047918,1977.6398958569,2105.09013687297,2001.59299285914,1996.56773824149,1986.01330043878,1785.42707890313,"Ripor1"
"ENSMUSG00000038605",366.758762320961,283.76608268971,279.976033280392,343.305208477972,265.894272114129,330.922829542789,264.01367287579,303.636987210084,"Samd10"
"ENSMUSG00000038607",735.788476730597,631.234755370989,651.958324847273,641.35153095081,733.978980315044,537.96172802597,707.320213152302,894.273318495454,"Gng10"
"ENSMUSG00000038608",945.851544933005,1123.48204166947,852.78918970918,730.765427692662,983.254860422041,835.79227461448,963.45288086762,824.603187868483,"Dock10"
"ENSMUSG00000038611",1012.84463154891,1053.02311637576,958.645852468904,1215.36667052813,902.009388387168,1019.92113105239,983.155393768799,936.907279028377,"Phrf1"
"ENSMUSG00000038612",1168.40484962312,1598.35589433388,1689.74934573466,1407.44096723285,1476.26715663366,1399.20960491297,1457.9859546872,1637.76799608179,"Mcl1"
"ENSMUSG00000038615",7347.66548290693,7721.52605958396,7112.18269700614,7897.12367026179,6838.46831093526,7524.67603175757,7007.19871330407,7733.38449959383,"Nfe2l1"
"ENSMUSG00000038618",24.9804729754215,29.9209134808878,25.7221797360077,27.596881710448,24.0043440103033,25.4556022725222,36.4496488671799,22.8767593103488,"Rassf7"
"ENSMUSG00000038619",5147.11290898116,4887.72599571665,5723.18499126172,5211.39514220099,5682.56682243912,5587.50469881863,6011.23668614951,6177.76486649011,"Ensa"
"ENSMUSG00000038622",294.088295483371,277.009747387574,252.275224333922,299.150197741256,283.435908121659,278.314584846243,304.403824323205,335.872420783758,"Med30"
"ENSMUSG00000038623",274.785202729636,299.209134808878,243.371392886842,187.658795631046,325.905132139888,305.467227270267,246.281411264729,193.41260144204,"Tm6sf1"
"ENSMUSG00000038628",605.208731631802,701.693680664692,678.669819188512,560.768636356302,662.889192284531,605.843334086029,709.29046444242,735.175856018937,"Polr3k"
"ENSMUSG00000038630",403.093995739756,360.016152528102,359.121201698877,218.567303146748,307.440252131962,364.015112497068,218.697893203079,125.822176206919,"Zkscan16"
