"","BInt_390","BInt_391","BInt_392","BInt_398","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000096054",5161.81609884507,2779.52563009645,3941.37786624585,3103.25698103506,3939.02312409021,5019.32262277042,5700.64514706942,6595.23409266679,"Syne1"
"ENSMUSG00000096141",42.5238547742339,35.5697978257316,37.9663129800925,47.3705894301303,40.813974538766,52.3064049892707,27.4652026357319,36.313231191824,"Dnah7a"
"ENSMUSG00000096145",154.632199179032,278.206632994115,178.758056947935,192.382597889713,194.57825070807,182.026289362662,121.170011628229,175.305254029495,"Vkorc1"
"ENSMUSG00000096146",933.591902543407,654.230210008991,620.907410195262,735.694256251615,932.077279001586,859.91729802361,836.880880312302,741.290788467579,"Kcnj11"
"ENSMUSG00000096169",2.89935373460685,15.2441990681707,5.53675397626348,14.5012008459582,12.3391085814874,19.8764338959229,16.9638016279521,10.0174430873997,"Or10h5"
"ENSMUSG00000096188",1799.53221794599,1457.09136093265,1460.91208487981,1472.35525922629,1311.74215843197,1890.35347631224,2125.32200395914,2221.36800463089,"Cmtm4"
"ENSMUSG00000096199",119.83995436375,189.282138429786,136.836919699083,172.080916705371,133.831869999209,144.365677770387,109.053010465406,126.470218978421,"Ptrhd1"
"ENSMUSG00000096210",2094.29984763102,2012.23427699853,1903.06143812713,1930.59320595857,2269.4468167951,2314.03535672534,1978.30238985022,1937.12305702592,"H1f0"
"ENSMUSG00000096221",39.624501039627,78.7616951855485,49.0398209326194,61.8717902760885,118.645274821994,55.4447892886269,39.5822037985548,50.0872154369986,"1500002C15Rik"
"ENSMUSG00000096225",36.7251473050202,30.4883981363413,28.4747347350693,55.1045632146413,20.881568368671,27.1993305944208,39.5822037985548,38.8175919636739,"Lhx8"
"ENSMUSG00000096255",31.8928910806754,27.9476982916462,33.2205238575809,17.4014410151499,34.1698391487343,34.5222272929187,34.7354033334257,35.061050805899,"Dynlt1b"
"ENSMUSG00000096257",46.3896597537097,121.953592545365,75.141661106433,63.8052837222163,91.1195710632915,36.6144834924895,19.3872018605167,35.061050805899,"Ccer2"
"ENSMUSG00000096299",18.3625736525101,11.433149301128,31.6385941500771,19.3349344612777,6.64413539003167,15.6919214967812,15.348201472909,16.2783450170245,"Gm21814"
"ENSMUSG00000096351",62.8193309164818,53.3546967385974,46.6669263713637,41.570109091747,47.4581099287977,43.9373801909874,33.9276032559041,46.3306742792237,"Samd11"
"ENSMUSG00000096370",43.4903060191028,44.4622472821645,50.6217506401233,35.7696287533637,39.86481234019,56.4909173884123,50.8914048838562,77.6351839273478,"Gm21992"
"ENSMUSG00000096401",142.068332995736,86.3837947196338,130.509200869068,94.7411788602605,89.2212466661396,120.304731475323,91.2814087599326,157.774728626546,"Gm21811"
"ENSMUSG00000096433",49.2890134883165,101.627993787804,121.808587477797,98.608165752516,75.9329758860763,60.675429787554,102.590609845234,62.6090192962483,"Zfp994"
"ENSMUSG00000096449",15.4632199179032,5.08139968939022,11.073507952527,6.76722706144718,5.69497319145572,5.23064049892707,14.5404013953875,13.7739842451746,"Gm4076"
"ENSMUSG00000096458",53.1548184677923,8.89244945643289,64.859118007658,53.1710697685135,27.5257037587026,85.7825041824039,78.3566075195881,77.6351839273478,"Moap1"
"ENSMUSG00000096472",916.195780135766,1257.64642312408,1056.72904461257,1097.25753067751,1163.67285545412,1002.19071959443,882.117684653508,1028.0400968444,"Cdkn2d"
"ENSMUSG00000096544",13.5303174281653,2.54069984469511,12.6554376600308,12.5677073998305,15.1865951772153,7.3228966984979,14.5404013953875,8.76526270147476,"Gm4617"
"ENSMUSG00000096606",100.510929466371,134.657091768841,83.0513096439523,94.7411788602605,108.204490637659,86.8286322821893,82.3956079071958,85.1482662428976,"Tpbgl"
"ENSMUSG00000096687",169.128967852067,87.6541446419814,117.062798355285,101.508405921708,119.59443702057,179.934033163091,194.679818682688,199.096681362069,"Mfsd4b4"
"ENSMUSG00000096696",4.83225622434476,12.7034992234756,26.1018401738136,15.4679475690221,20.881568368671,12.553537197425,14.5404013953875,5.00872154369986,"Zfp960"
"ENSMUSG00000096718",21.2619273871169,10.1627993787804,22.1470159050539,27.0689082457887,12.3391085814874,14.6457933969958,28.2730027132535,25.0436077184993,"Zfp781"
"ENSMUSG00000096727",23.1948298768548,39.3808475927742,27.6837698813174,56.0713099377052,40.813974538766,20.9225619957083,24.2340023256458,48.8350350510736,"Psmb9"
