"","log2FoldChange","pvalue","padj","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000053819",0.110865734535073,0.330170324648526,0.922113547260711,1460.15992925504,1659.91268350929,1925.45432308446,1789.90540558307,2020.77822909553,1798.45873855323,1766.67536608903,1795.81853758933,"Camk2d"
"ENSMUSG00000053825",0.323948354879976,0.133374807747498,0.922113547260711,610.612334052107,1065.55320663666,1310.39075363518,1432.99773100654,1367.62431599737,1468.19631565528,1437.85897197026,1256.47370427552,"Ppfia2"
"ENSMUSG00000053835",-0.163689323419212,0.494400440881125,0.931963066564986,149.07926550436,67.7976589588546,93.3500736610951,105.99889583288,88.8644779725386,94.0103431516462,93.1329671203472,95.8835259224561,"H2-T24"
"ENSMUSG00000053838",0.0394185607076459,0.642646019029514,0.948289032571902,2898.87695045808,2874.62073985543,2964.51916168599,2741.21195172879,2810.78343827139,2894.70108782591,2872.86693474295,3223.08477241423,"Nudcd3"
"ENSMUSG00000053841",0.0943378371591689,0.321099271759779,0.922113547260711,733.143237206376,803.402258662427,767.738923567885,807.738421410051,838.880672060764,868.98256321913,841.047713280686,770.064567564726,"Txlna"
"ENSMUSG00000053846",-0.0799636735447555,0.735401644122001,0.962660344183848,54.1178155598021,83.6171127159206,97.7122266359126,96.6065886071822,80.8666749550101,85.835530703677,82.6792667292878,63.9223506149707,"Lipg"
"ENSMUSG00000053870",0.26647929257739,0.225892798880912,0.922113547260711,134.783993469696,185.313601154202,240.790844209927,296.528556697045,239.045445746129,252.601704642249,246.137127389489,291.645724680804,"Fpgt"
"ENSMUSG00000053877",-0.265113158456318,0.384318511672961,0.922113547260711,148.058174644742,127.685591039176,152.675354118613,159.669222836871,117.301110923751,175.758467631339,146.351805474831,48.940549689587,"Srcap"
"ENSMUSG00000053889",0.528565534602669,0.232395286554992,0.922113547260711,17.3585446135214,6.77976589588546,13.9588895194161,17.4428562762968,23.10476427286,12.2622186719539,19.9570643829315,24.9696682089729,"Kirrel3os"
"ENSMUSG00000053897",0.0662592939314788,0.820164321779946,0.97673637551682,47.9912704020887,41.8085563579603,52.3458356978103,40.2527452529926,29.3252777309377,52.3187996670031,45.6161471609864,64.9211373433296,"Slc39a8"
"ENSMUSG00000053898",-0.0844588317591533,0.5470930759378,0.932520803601401,972.0784983572,770.633390165647,694.45475359095,676.246120250275,728.688719374816,663.794770775102,765.020801345709,781.051221576674,"Ech1"
"ENSMUSG00000053907",0.0323476119673727,0.78682042735173,0.971517569160937,2801.87331879428,2679.1374898574,3111.08750163986,3441.60971913087,3415.06188848466,3046.75259935814,3157.01751809993,2684.73872582877,"Mat2a"
"ENSMUSG00000053914",0.194009429024506,0.69073051097956,0.95792867179102,15.3163628942836,25.9891026008942,14.8313201143796,6.70879087549876,13.3296716958808,28.6118435678923,18.0563915845571,11.985440740307,"Kdm4d"
"ENSMUSG00000053916",0.126634730359155,0.748535513669244,0.965067208622271,10.2109085961891,20.3392976876564,20.0659036841606,29.5186798521946,20.4388299336839,22.0719936095169,18.0563915845571,25.9684549373319,"Nanp"
"ENSMUSG00000053925",-0.00666467266559233,0.981214609225645,0.996699238006462,37.7803618058996,92.6568005771012,69.7944475970804,87.2142813814839,60.4278450213262,85.0180494588801,73.1759027374156,65.9199240716886,"Gm9929"
"ENSMUSG00000053929",-0.0828177171275823,0.488832403132712,0.931234782202005,1341.71338953924,1136.74074854346,1048.66157514613,1196.84829218898,1001.50266675051,1085.61509309031,1259.19572892306,1113.64720212019,"Zftraf1"
"ENSMUSG00000053930",-0.00104947998079849,0.995122831902005,0.999207527725996,323.685802499194,238.421767338639,262.601609084015,387.768112603829,320.800765480864,319.635166715597,265.143855373233,302.632378692752,"Shisa6"
"ENSMUSG00000053931",0.0906595890799008,0.344156141888457,0.922113547260711,1234.49884927926,1212.44813438085,1165.56727487124,1337.73290057445,1317.86020833275,1315.32732287825,1216.43059095964,1418.27715426966,"Cnn3"
"ENSMUSG00000053950",0.110545628199004,0.48562262407566,0.931234782202005,295.095258429864,448.594510111088,409.169949037884,481.691184860811,417.663046470931,469.234234513434,437.154743626119,437.468587021206,"Adnp2"
"ENSMUSG00000053963",0.153741231347073,0.412936843210659,0.922113547260711,2070.77226330714,3612.4852615243,4005.32886147745,4132.61517930724,3802.51101244492,3952.52181859313,3680.65287405209,3938.21606991921,"Stum"
"ENSMUSG00000053964",-0.46325277524026,0.0999901013297329,0.922113547260711,108.235631119604,72.3175028894449,55.8355580776643,65.7461505798879,63.0937793605024,58.8586496253785,60.8215295479818,35.956322220921,"Lgals4"
"ENSMUSG00000053965",0.498472156704941,0.00605745972218842,0.922113547260711,116.404357996555,90.3968786118061,119.52299151,130.150542984676,147.515033434414,188.838167548089,165.358533458576,141.827715426966,"Pde5a"
"ENSMUSG00000053985",0.148579686876324,0.419516404781962,0.922113547260711,130.69963003122,167.234225431841,118.650560915037,175.770320938068,150.18096777359,171.671061407354,186.265934240694,144.824075612043,"Zfp14"
"ENSMUSG00000054000",-0.0456166177757837,0.798962499977815,0.97310251205432,132.741811750458,162.714381501251,126.502436269708,105.99889583288,118.189755703476,129.162036677914,124.494068293525,140.828928698607,"Tusc1"
"ENSMUSG00000054003",-0.316891094250669,0.459826640008141,0.929841984404793,12.2530903154269,20.3392976876564,18.3210424942336,30.8604380272943,15.1069612553316,22.0719936095169,10.4537003910594,16.9793743821016,"Tdrd9"
"ENSMUSG00000054008",0.0504913969302608,0.578769374892154,0.937843146980235,1546.95265232265,1674.60217628371,1766.6719548011,1771.12079113167,1823.49908799649,1813.17340095958,1698.25114534755,1662.9799027176,"Ndst1"
"ENSMUSG00000054013",-0.142413903455426,0.287802631154857,0.922113547260711,4126.22816372001,3455.42068493629,2921.77006253278,2820.37568405968,3016.94902716768,2859.54939429964,2989.75831184298,3207.10418476048,"Tmem179"
"ENSMUSG00000054021",-0.0267378583182073,0.85532071564254,0.980797260472895,271.610168658629,272.320596818066,223.342232310657,217.36482436616,250.597827882559,235.434598501514,267.044528171608,213.740359868808,"Sirt5"
"ENSMUSG00000054027",0.0648679590439522,0.583128124331758,0.939073622249985,1443.82247550114,1976.30175865061,1820.76265168884,1934.81528849384,1932.80239590271,1908.81870660082,1811.34117685083,1849.75302092072,"Nt5dc3"
"ENSMUSG00000054034",-0.29821359774537,0.127896561842228,0.922113547260711,2604.80278288783,1780.81850865258,1385.41978480205,1328.34059334876,1413.83384454309,1525.42000279106,1337.12331365641,1498.18009253838,"Tceal5"
"ENSMUSG00000054051",0.213633059021125,0.36301927130871,0.922113547260711,162.353446679406,315.259114158674,382.997031188979,342.148334650437,370.564873145486,356.421822731459,390.588260065946,276.66392375542,"Ercc6"
"ENSMUSG00000054057",-0.0432759772638465,0.845975396780461,0.979025755841522,84.7505413483693,101.696488438282,63.6874334323359,68.4296669300874,79.0893853955593,80.1131619900985,64.6228751447307,84.896871910508,"A930004D18Rik"
"ENSMUSG00000054072",0.818518188543062,0.213506958875844,0.922113547260711,29.6116349289483,11.2996098264758,24.4280566589781,14.7593399260973,98.6395705495178,8.17481244796924,18.0563915845571,16.9793743821016,"Iigp1"
"ENSMUSG00000054074",0.0924912480453174,0.59632097606263,0.942423450319236,126.615266592745,158.194537570661,185.827716727227,183.820869988666,191.947272420683,165.131211448979,186.265934240694,153.813156167273,"Skida1"
"ENSMUSG00000054079",0.142110266492527,0.409289082678377,0.922113547260711,226.682170835397,276.840440748656,352.461960365256,351.540641876135,324.355344599766,359.691747710646,285.100919756165,362.559582394287,"Utp18"
"ENSMUSG00000054083",-0.452168518026148,0.192977549996116,0.922113547260711,27.5694532097105,41.8085563579603,32.2799320136497,22.8098889766958,30.2139225106631,23.7069560991108,16.1557187861827,20.9745212955373,"Capn12"
"ENSMUSG00000054091",-0.171109942744836,0.184634383454541,0.922113547260711,1434.63265776457,1426.01076010124,1085.3036601346,1088.1658800059,1109.02868509728,1087.25005557991,1088.13517706936,1187.55742001875,"1810037I17Rik"
"ENSMUSG00000054099",-0.15757139535397,0.493475554927705,0.931268324223797,109.256721979223,142.375083813595,168.379104827957,198.580209914763,161.73334991002,129.979517922711,162.507524261014,98.8798861075328,"Slc25a40"
"ENSMUSG00000054115",0.188616697949234,0.47276518721797,0.930108315419764,65.3498150156101,128.815552021824,136.97160340927,156.985706486671,159.067415570844,139.789292860274,154.904833067516,100.877459564251,"Skp2"
"ENSMUSG00000054134",-0.00571136159221829,0.992795535399657,0.999099086275819,12.2530903154269,14.6894927744185,8.72430594963505,13.4175817509975,24.8820538323108,4.08740622398462,3.80134559674886,15.9805876537427,"Umodl1"
"ENSMUSG00000054135",0.0439989338071234,0.904103287583766,0.989069349841078,40.8436343847563,27.1190635835418,23.5556260640146,22.8098889766958,37.3230807484662,22.8894748543139,38.9637923666759,18.9769478388194,"A430110L20Rik"
"ENSMUSG00000054150",0.459286382352627,0.203302747266141,0.922113547260711,16.3374537539025,22.5992196529515,20.9383342791241,26.8351635019951,30.2139225106631,41.6915434846431,19.9570643829315,25.9684549373319,"Syne3"
"ENSMUSG00000054162",0.332082077554092,0.117225764933587,0.922113547260711,755.607236117992,1274.59598842647,1475.28013608329,1752.33617668028,1557.7942988586,1652.94707697938,1511.03487470767,1894.69842369687,"Spock3"
"ENSMUSG00000054196",0.210157053691992,0.294586461307822,0.922113547260711,92.9192682253206,106.216332368872,108.181393775475,124.783510284277,161.73334991002,120.987224229945,107.388013108155,107.868966662763,"Cthrc1"
"ENSMUSG00000054199",0.0158276535378548,0.894981573691957,0.987778740263542,647.371604998387,764.983585252409,752.907603453505,853.358199363443,791.782498735319,815.028801062533,753.616764555462,687.165269110935,"Gon4l"
"ENSMUSG00000054204",-0.0478152058787268,0.903274822979186,0.988914427789534,19.4007263327592,30.5089465314846,27.9177790388322,40.2527452529926,41.7663046470931,18.8020686303292,17.1060551853699,35.956322220921,"Alkal2"
"ENSMUSG00000054206",-0.35426156184674,0.266112361760253,0.922113547260711,55.138906419421,28.2490245661894,41.8766685582483,61.7208760545886,46.20952854572,31.0642873022831,27.5597555764293,40.9502558627156,"Gzmm"
"ENSMUSG00000054226",-0.0984088325254616,0.423044231061405,0.922816754322246,1827.75263871784,1381.94228177799,1376.69547885241,1371.27685495195,1483.14813736167,1352.11397889411,1367.5340784304,1363.34388420992,"Tprkb"
"ENSMUSG00000054237",0.177591232236635,0.168162191984265,0.922113547260711,369.634891182045,334.468450863683,287.029665742993,326.04723654924,406.999309114227,351.516935262677,377.283550477325,352.571715110698,"Fra10ac1"
"ENSMUSG00000054252",0.0578827490644137,0.685386889980699,0.956434098360976,1261.04721162935,1875.73523119498,1776.2686913457,1921.39770674285,1662.6543828662,1783.74407614689,1737.21493771423,1928.65717246107,"Fgfr3"
"ENSMUSG00000054256",-0.0494862384745502,0.673034286590794,0.953111825022323,674.941058208098,699.44584825885,570.569609106132,590.373597043891,672.704098252117,602.483677415333,604.413949883069,569.308435164583,"Msi1"
"ENSMUSG00000054263",0.249925490176932,0.125512043123085,0.922113547260711,364.52943688395,473.453651729334,499.030300319125,627.942825946684,570.509948583697,613.92841484249,618.668995870878,529.356966030226,"Lifr"
"ENSMUSG00000054277",0.0301666705931618,0.830055609995066,0.978377720407746,349.213073989666,308.479348262788,352.461960365256,417.286792456023,313.691607243061,385.033666299351,398.190951259443,358.564435480851,"Arfgap3"
"ENSMUSG00000054280",0.287436266266957,0.154291577490401,0.922113547260711,332.875620235764,422.605407510193,613.318708259344,625.259309596485,645.15611008063,655.619958327133,631.023369060311,500.392150907818,"Prr14l"
"ENSMUSG00000054302",-0.00780011920017924,0.94853666419744,0.993880766237916,667.793422190766,700.575809241497,632.512181348541,619.892276896086,630.049148825298,586.134052519394,623.420677866814,769.065780836367,"Eapp"
"ENSMUSG00000054309",-0.0592850693071376,0.614126966447423,0.944362113373894,1022.11195047853,844.080854037739,873.303025558469,770.169192507258,772.23231358136,877.157375667099,859.104104865243,862.951733302105,"Cpsf3"
"ENSMUSG00000054312",-0.256430602203528,0.121343883257261,0.922113547260711,1003.73231500539,884.759449413052,654.322946222629,627.942825946684,632.715083164475,609.023527373708,707.050280995289,707.141003678114,"Mrps21"
"ENSMUSG00000054320",-0.0184484227700112,0.965055729995983,0.995286541403128,17.3585446135214,19.2093367050088,23.5556260640146,8.05054905059852,15.9956060350569,14.7146624063446,20.9074007821187,16.9793743821016,"Lrrc36"
"ENSMUSG00000054321",0.548921596308807,0.0550137187130437,0.922113547260711,40.8436343847563,28.2490245661894,29.6626402287592,57.6956015292894,50.652752444347,65.3984995837539,57.9705203504202,51.9369098746637,"Taf4b"
