"","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000042761",213.407989660352,224.862235546868,165.761813043066,173.086804587868,163.510639469471,207.640236178419,168.209542656137,287.650577767368,"Mrap2"
"ENSMUSG00000042763",652.477059296482,811.31198554096,810.488022721096,711.131832802869,782.007406158339,796.226732432204,770.722819740832,797.031809230416,"Maneal"
"ENSMUSG00000042766",2012.57008430887,1998.90097830356,1805.05890097949,1848.94276528746,1842.16062837072,1923.53336900716,1852.20564201588,1548.11942895632,"Trim46"
"ENSMUSG00000042770",706.594874856284,675.71666762325,548.758844232045,548.779093615799,503.861590104294,581.229165050613,528.387037948092,636.22714596463,"Hebp1"
"ENSMUSG00000042772",1084.39849291528,1290.41544218353,1347.90526921862,1415.55487473024,1340.07632782588,1422.41736594665,1492.02814672393,1535.13520148766,"Smg7"
"ENSMUSG00000042784",17.3585446135214,13.5595317917709,19.1934730891971,4.02527452529926,9.77509257697924,9.80977493756309,17.1060551853699,3.99514691343567,"Muc1"
"ENSMUSG00000042787",464.596341126603,483.623300573163,506.009745078833,470.957119460013,435.435942065439,437.352465966354,473.267526795233,503.388511092894,"Exog"
"ENSMUSG00000042788",44.9279978232319,20.3392976876564,19.1934730891971,20.1263726264963,16.8842508147823,14.7146624063446,6.65235479431051,10.9866540119481,"Cimip2b"
"ENSMUSG00000042790",613.675606630963,645.207721091766,845.385246519637,805.054905059852,749.1275493085,783.147032515453,793.530893321325,705.143430221396,"Rnf214"
"ENSMUSG00000042793",151.121447223598,193.223328032735,183.210424942336,140.884608385474,383.005900061641,181.480836344917,235.68342699843,237.711241349422,"Lgr6"
"ENSMUSG00000042797",286.926531552913,287.010089592484,300.988555262409,284.452733121148,342.128240194273,249.331779663062,321.213702925279,316.615392889777,"Aqp11"
"ENSMUSG00000042804",644.308332419531,740.124443634162,694.45475359095,606.474695145088,665.594940014314,564.879540154674,657.632788237553,580.295089176531,"Gpr153"
"ENSMUSG00000042807",333.896711095383,465.543924850801,629.022458968687,700.397767402071,605.167094992988,841.188200896035,788.779211325389,654.205307075091,"Hecw2"
"ENSMUSG00000042810",1034.36504079395,1038.43414305312,1036.44754681664,896.294460966635,964.179586002043,1079.89272437674,1037.76734791244,606.263544113863,"Krba1"
"ENSMUSG00000042812",9.18981773657017,4.5198439305903,18.3210424942336,12.0758235758978,9.77509257697924,21.25451236472,17.1060551853699,9.98786728358918,"Foxf1"
"ENSMUSG00000042814",117.425448856174,108.476254334167,102.07437961073,87.2142813814839,97.7509257697924,83.3830869692862,82.6792667292878,91.8883790090204,"Mcts2"
"ENSMUSG00000042816",30.6327257885672,71.1875419067973,51.4734051028468,24.1516471517955,31.9912120701139,20.4370311199231,32.3114375723653,40.9502558627156,"Gpr151"
"ENSMUSG00000042817",197.070535906449,155.934615605365,160.527229473285,205.289000790262,178.617600724802,149.599067797837,127.345077491087,141.827715426966,"Flt3"
"ENSMUSG00000042821",11.231999455808,19.2093367050088,10.4691671395621,17.4428562762968,8.88644779725385,15.5321436511416,11.4040367902466,9.98786728358918,"Snai1"
"ENSMUSG00000042826",533.00942872107,415.825641614308,464.133076520585,517.918655588505,446.099679422144,492.941190612545,462.813826404174,523.364245660073,"Fgf11"
"ENSMUSG00000042828",45.9490886828508,45.198439305903,22.6831954690511,28.1769216770948,20.4388299336839,37.6041372606585,20.9074007821187,13.9830141970248,"Trim72"
"ENSMUSG00000042831",803.59850652008,786.452843922713,677.00614169168,657.461505798879,576.730462041775,671.152101978274,686.14288021317,606.263544113863,"Alkbh6"
"ENSMUSG00000042834",1893.10245373345,1242.95708091233,1207.44394342949,1011.68566402521,1178.34297791586,1358.65382885249,1176.51646219377,1206.53436785757,"Nrep"
