"","BCH_309","BCH_313","BCH_314","BCH_317","BInt_390","BInt_391","BInt_392","BInt_398","gene"
"ENSMUSG00000067653",33.2031857192536,27.5072365984676,26.5557981861186,19.4310269951064,28.1720799158572,13.220786192539,24.6283461986158,16.0032596299797,"Ankrd23"
"ENSMUSG00000067713",730.470085823578,660.173678363223,770.118147397439,764.9688522284,760.646157728144,1211.02401523658,735.566606465324,991.20189333187,"Prkag1"
"ENSMUSG00000067719",31.1279866118002,11.5352927670993,6.41002025182173,12.2722275758567,10.0614571128061,55.527302008664,17.239842339031,46.0093714361918,"Gm10221"
"ENSMUSG00000067722",475.220595606817,467.623022173949,506.391599893917,486.798360508982,530.238789844883,824.977058414436,532.793222763388,565.11510568366,"Uqcc4"
"ENSMUSG00000067724",42.5415817027936,34.605878301298,48.5330104780788,38.8620539902128,45.2765570076276,26.4415723850781,26.2702359451901,44.0089639824443,"Gbx1"
"ENSMUSG00000067736",16.6015928596268,5.32398127712276,10.0728889671484,25.5671407830348,12.0737485353674,9.25455033477733,13.9560628458823,10.0020372687373,"Gm10222"
"ENSMUSG00000067786",3862.98313852441,4072.84567699891,4995.23721052679,5889.64655077989,4014.52138800965,5411.26778860623,4261.52483723381,5351.08993877448,"Nnat"
"ENSMUSG00000067787",1753.54324579808,1826.12557805311,1922.09035836769,1916.51287309629,1787.92092894565,2156.31022800312,1898.84549191328,1837.37424626705,"Blcap"
"ENSMUSG00000067795",10.3759955372667,9.76063234139173,7.32573743065341,7.15879941924973,18.110622803051,34.3740441006015,16.4188974657438,30.006111806212,"4930444P10Rik"
"ENSMUSG00000067818",115.173550463661,168.592740442221,154.756203222553,197.378326845028,235.438096439663,260.449487993019,240.536847873147,296.060303154625,"Myl9"
"ENSMUSG00000067825",350.708649159616,329.199508968758,274.715153649503,281.238548613382,323.978919032357,182.446849457039,285.688815903943,235.047875815327,"Pex26"
"ENSMUSG00000067847",477.29579471427,425.031171956967,536.610266795362,678.040573566082,618.779612437577,1812.5697869971,687.13085894138,966.196800160027,"Romo1"
"ENSMUSG00000067851",1222.29227429002,1483.61611589154,1284.75120190084,1108.59122435239,1056.45299684464,961.151156197588,1283.95778182117,846.172352935179,"Arfgef1"
"ENSMUSG00000067860",63.2935727773271,81.634379582549,63.1844853393856,67.4972516672118,64.3933255219592,136.174097783152,82.9154322020064,113.023021136732,"Zic3"
