"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BInt_390","BInt_391","BInt_392","BInt_398","gene"
"ENSMUSG00000090125",0.34653054006639,0.097193839717267,0.243912839020118,635.010926880724,612.257846869118,769.202430218608,819.171190688434,727.443349255883,1228.21103728688,649.367394770169,1004.20454178123,"Pou3f1"
"ENSMUSG00000090129",-0.125281593489681,0.602021471517138,0.75684724963291,88.1959620667673,76.3103983054263,92.4874350619993,84.8829073996754,73.4486369234848,109.732525398074,64.8546449896882,68.0138534274139,"Or10ad1"
"ENSMUSG00000090135",0.639786700699029,0.211732880574126,0.39649139778333,11.4135950909934,9.76063234139173,6.41002025182173,30.6805689396417,31.190517049699,22.4753365273164,14.7770077191695,22.0044819912221,"Gm15809"
"ENSMUSG00000090137",0.601920104384291,0.0270715592084902,0.111848628756897,1527.34654308566,1342.53061204779,2053.95363211945,2558.75944956612,2051.53110530117,4514.89848475208,1794.5854930058,2998.61077316745,"Uba52"
"ENSMUSG00000090150",-0.0608573828111247,0.715884643522511,0.837716477895622,327.881458977629,345.171452800126,322.33244694875,260.784835986955,280.714653447291,292.179374855113,356.290075006641,274.055821163403,"Acad11"
"ENSMUSG00000090157",0.304600877901936,0.601775062637427,0.756760349839846,7.26319687608672,13.3099531928069,16.4829092189702,11.2495419445353,14.0860399579286,27.763651004332,3.28377949314877,16.0032596299797,"Gm16534"
"ENSMUSG00000090160",1.07829243006376,0.00376167117313916,0.0372270918554641,28.0151879506202,26.6199063856138,32.9658184379403,42.9527965154984,46.2827027189082,129.563704686883,45.1519680307956,57.0116124318028,"4930480K15Rik"
"ENSMUSG00000090164",-0.648467511058779,0.255010746549294,NA,18.6767919670801,12.4226229799531,10.9886061459801,7.15879941924973,8.0491656902449,5.28831447701562,11.4932282260207,6.0012223612424,"BC035044"
"ENSMUSG00000090173",0.214946003602044,0.599314891274024,0.754611009433125,20.7519910745335,15.9719438313683,13.7357576824751,16.3629701011423,16.0983313804898,17.1870220503008,18.8817320856054,25.0050931718433,"Fbxw10"
"ENSMUSG00000090200",1.52810791955845,0.00397590878720554,0.038364592074084,4.1503982149067,7.98597191568415,16.4829092189702,21.4763982577492,17.1044770917704,70.0701668204569,29.5540154383389,29.0059080793383,"1700025N21Rik"
"ENSMUSG00000090210",-0.0449438598263329,0.849998131359708,0.921647942973343,62.2559732236004,86.9583608596718,80.5831117371875,82.8375361370326,91.5592597265358,72.7143240589647,78.8107078355704,60.012223612424,"Itga10"
"ENSMUSG00000090213",0.162135629212832,0.21195807376529,0.396738441613709,635.010926880724,595.398572824896,616.277661353718,571.681267908657,658.019295177521,694.0912751083,618.171489585256,737.150146705942,"Peds1"
"ENSMUSG00000090223",0.623888969700596,0.000468063034745024,0.0139307591410226,4301.88774975079,4976.14783368408,5577.63333626374,5574.6593763329,6120.38436171997,10416.6574411015,7913.90857848853,7036.43321855672,"Pcp4"
"ENSMUSG00000090230",0.639229947357917,0.253974095972791,0.444423945668483,9.33839598354006,8.87330212853794,5.49430307299006,24.5444551517134,18.110622803051,7.93247171552342,18.0607872123182,30.006111806212,"Gm16315"
"ENSMUSG00000090236",0.0129839164418179,0.969247114331777,0.987140639020947,51.8799776863337,37.2678689398593,36.628687153267,98.1778206068535,66.4056169445205,58.1714592471718,50.8985821438059,50.0101863436867,"Car15"
"ENSMUSG00000090247",0.842918275745843,0.000219231020242938,0.00995868570678026,336.182255407442,268.8610544947,353.466831029027,400.892767477985,428.618073005541,912.234247285194,531.151333016813,569.115920591155,"Bloc1s1"
"ENSMUSG00000090257",-0.489210243980718,0.3175941419472,0.50934346896321,18.6767919670801,18.6339344699297,10.0728889671484,15.3402844698209,15.0921856692092,7.93247171552342,13.1351179725951,8.00162981498987,"Gm4524"
"ENSMUSG00000090258",0.70950583344092,0.000376892065724327,0.0127651957472597,396.363029523589,330.086839181611,441.375680196868,399.870081846664,495.023689950062,868.605652849815,521.299994537367,682.138941727887,"Churc1"
"ENSMUSG00000090264",-0.272356104164834,0.619428360032795,0.770002648425047,12.4511946447201,21.2959251084911,20.1457779342969,5.11342815660695,17.1044770917704,7.93247171552342,15.5979525924567,8.00162981498987,"Eif4ebp3"
"ENSMUSG00000090266",0.502666043455882,0.0110967716481349,0.0672277626500593,182.617521455895,181.015363422174,229.845011886751,247.489922779777,217.327473636612,343.740441006015,325.915114695015,305.062136696489,"Mettl23"
"ENSMUSG00000090272",0.405170419252778,0.353091192807087,0.543021571505947,18.6767919670801,30.169227237029,12.8200405036435,11.2495419445353,20.1229142256123,35.6961227198554,22.9864564520414,19.0038708106009,"Mndal"
"ENSMUSG00000090273",0.496351006289465,0.250645875720831,0.440843533859726,38.3911834878869,22.1832553213448,12.8200405036435,21.4763982577492,23.1413513594541,59.4935378664257,26.2702359451901,26.0052968987171,"Prr22"
"ENSMUSG00000090290",-0.725463472230439,0.00528682776975934,0.0446786950076545,190.918317885708,198.76196767925,132.778990930593,141.130617122352,127.780505332638,55.527302008664,116.574172006781,99.0201689604996,"Tarbp1"
"ENSMUSG00000090291",0.224043680570226,0.185416906438778,0.365118086768744,651.612519740351,754.230680925725,676.714995156608,717.925313187616,901.506557307429,757.551048832487,619.81337933183,993.202300785618,"Lrrc10b"
"ENSMUSG00000090327",0.0304619283966162,0.943521339914639,0.97314882160278,40.4663825953403,19.5212646827835,16.4829092189702,18.408341363785,20.1229142256123,15.8649434310468,22.9864564520414,37.0075378943282,"Gm17111"
"ENSMUSG00000090329",1.91361964905831,0.00402449835359217,0.0386605353652161,4.1503982149067,4.43665106426897,18.3143435766335,4.09074252528556,7.04301997896429,66.1039309626952,20.5236218321798,25.0050931718433,"Gm17160"
"ENSMUSG00000090330",0.230961412236448,0.280288153376705,0.470776050710407,71.5943692071405,84.2963702211104,77.8359602006925,77.7241079804257,87.5346768814133,78.0026385359803,96.0505501746015,103.020983867995,"9130221H12Rik"
"ENSMUSG00000090336",-0.46391598721702,0.319602284020977,0.511266421895311,32.1655861655269,31.9438876627366,20.1457779342969,25.5671407830348,20.1229142256123,21.1532579080625,32.8377949314877,5.00101863436867,"Cfap97d2"
"ENSMUSG00000090386",0.960316684968826,0.00214895368614315,0.0286867403225479,204.407112084155,198.76196767925,239.002183675067,292.488090557918,230.40736788326,855.384866657276,353.82724038678,382.077823665766,"Mir99ahg"
"ENSMUSG00000090394",-0.0353978432693335,0.911868944584968,0.957682377592155,34.2407852729802,35.4932085141518,27.4715153649503,26.5898264143562,29.1782256271378,35.6961227198554,29.5540154383389,27.0055006255908,"4930523C07Rik"
"ENSMUSG00000090397",0.180233502032097,0.721315518660704,0.84078817025352,12.4511946447201,17.7466042570759,14.6514748613068,10.2268563132139,13.079894246648,30.4078082428398,11.4932282260207,9.0018335418636,"Gm17096"
"ENSMUSG00000090429",1.06244243609099,0.0182664410414453,0.0890227996268947,10.3759955372667,15.9719438313683,21.9772122919602,17.3856557324636,16.0983313804898,58.1714592471718,23.8074013253286,41.0083528018231,"Gm17271"
"ENSMUSG00000090449",0.574456835127496,0.279540157494234,0.470074420596782,5.18799776863337,9.76063234139173,18.3143435766335,26.5898264143562,16.0983313804898,37.0182013391093,24.6283461986158,12.0024447224848,"Gm17076"
"ENSMUSG00000090459",0.340600190662193,0.540920713841657,0.710061422679974,6.22559732236004,19.5212646827835,18.3143435766335,6.13611378792834,20.1229142256123,25.1194937658242,10.6722833527335,9.0018335418636,"Gm17210"
"ENSMUSG00000090486",-0.305839499376378,0.259166160121649,0.449624988814399,67.4439709922338,77.1977285182801,47.6172932992471,72.6106798238187,50.3072855640307,56.8493806279179,65.6755898629754,41.0083528018231,"BC035947"
"ENSMUSG00000090516",2.11038046205774,0.00176622517264491,0.0262199627520439,10.3759955372667,4.43665106426897,1.83143435766335,7.15879941924973,12.0737485353674,62.1376951049335,9.03039360615911,20.0040745374747,"Rps11-ps1"
"ENSMUSG00000090523",-0.140456636999732,0.719510514557748,0.839698802375429,22.8271901819868,16.8592740442221,26.5557981861186,37.8393683588915,24.1474970707347,31.7298868620937,22.9864564520414,16.0032596299797,"Gypc"
"ENSMUSG00000090553",0.842243960945824,0.00058286075167799,0.0153393861920802,245.911094233222,226.269204277717,270.136567755344,282.261234244704,277.696216313449,715.244533016362,426.89133410934,420.085565286968,"Snrpe"
"ENSMUSG00000090564",0.664970255972485,0.0552270118983376,0.173046663588994,44.616780810247,28.3945668113214,22.8929294707919,16.3629701011423,42.2581198737858,50.2389875316483,37.7634641712108,48.0097788899392,"A430057M04Rik"
"ENSMUSG00000090582",-1.06549668495293,0.0634530127139095,NA,17.6391924133535,25.73257617276,17.3986263978018,6.13611378792834,6.03687426768368,5.28831447701562,13.1351179725951,7.00142608811614,"Gm17024"
"ENSMUSG00000090589",-0.23352000255658,0.639723706249195,0.785597506915733,36.3159843804336,39.9298595784207,23.8086466496236,24.5444551517134,57.350305542995,6.61039309626952,16.4188974657438,25.0050931718433,"Gm17180"
"ENSMUSG00000090608",-0.0762688824858749,0.90311211439449,NA,15.5639933059001,11.5352927670993,21.9772122919602,4.09074252528556,14.0860399579286,7.93247171552342,23.8074013253286,4.00081490749494,"Gm17200"
"ENSMUSG00000090622",0.742696676962619,0.0238693454522834,0.103684745759156,36.3159843804336,22.1832553213448,26.5557981861186,32.7259402022845,62.381034099398,60.8156164856796,34.4796846780621,40.0081490749494,"A930033H14Rik"
"ENSMUSG00000090626",-0.133214570363713,0.640796909584166,0.786039300179371,79.8951656369539,125.113560012385,68.6787884123757,55.2250240913551,76.4670740573266,71.3922454397108,91.9458258081655,60.012223612424,"Tex9"
"ENSMUSG00000090641",0.0810937371753726,0.755717098471667,0.862522421777218,52.9175772400604,65.6624357511808,58.6058994452273,47.043539040784,63.3871798106786,43.6285944353788,68.9593693561241,60.012223612424,"Zfp712"
"ENSMUSG00000090659",0.0141863385994733,0.968745695211127,0.986712175693604,35.2783848267069,42.5918502169821,33.881535616772,19.4310269951064,24.1474970707347,38.3402799583632,45.1519680307956,25.0050931718433,"Zfp493"
"ENSMUSG00000090667",0.0484490864939888,0.894210179177661,0.948110364414579,71.5943692071405,38.1551991527131,58.6058994452273,30.6805689396417,74.4547826347654,37.0182013391093,63.2127552431138,30.006111806212,"Mdfic2"
"ENSMUSG00000090671",-0.343232082900002,0.475840305146485,0.656596575529323,25.9399888431668,17.7466042570759,10.9886061459801,16.3629701011423,23.1413513594541,11.8987075732851,9.8513384794463,11.0022409956111,"Gm5067"
"ENSMUSG00000090691",0.288977942818105,0.581059956562156,0.740197266432695,30.0903870580735,15.9719438313683,5.49430307299006,16.3629701011423,22.1352056481735,7.93247171552342,24.6283461986158,27.0055006255908,"Gm3667"
"ENSMUSG00000090693",-0.0551730667227063,0.921755305361104,0.962762772020488,23.8647897357135,8.87330212853794,11.9043233248118,17.3856557324636,16.0983313804898,30.4078082428398,8.20944873287192,6.0012223612424,"Trim43a"
"ENSMUSG00000090698",-0.276079090037652,0.314882084893177,0.506577770943283,106.872754033847,204.973279169226,181.312001408672,119.654218864603,156.958730959776,108.41044677882,83.7363770752936,158.03218884605,"Apold1"
"ENSMUSG00000090733",0.897768036751162,0.000697738307152076,0.016598008755094,1455.75217387852,1197.00845713977,1455.07459716353,1748.79242955958,1554.49512392855,4588.9348874303,2113.11210384123,2658.54150603038,"Rps27"
"ENSMUSG00000090761",0.486956308554873,0.0155672246201862,0.0808416529379081,163.940729488814,171.254731080782,156.587637580217,177.947299849922,204.247579389964,326.553418955714,209.340942688234,202.041152828494,"Gm17201"
"ENSMUSG00000090777",-0.969391589212767,0.0776296667619843,0.21187085623526,26.9775883968935,23.0705855341986,9.15717178831676,16.3629701011423,17.1044770917704,5.28831447701562,10.6722833527335,5.00101863436867,"Ccdc188"
