"","BCH_309","BCH_313","BCH_314","BCH_317","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000042581",124.959649705439,92.5616077756332,135.778553895346,88.9347299266819,49.8519347472247,88.4760583989488,142.842219237875,113.953266586682,"Thsd7b"
"ENSMUSG00000042589",1448.91230195645,1315.25636953566,1227.43812721393,1452.26371482548,1085.99018635621,1376.7737867934,1414.30406605873,1220.19621412481,"Cux2"
"ENSMUSG00000042590",700.187128101548,700.823601729795,816.48170409068,712.48846134444,584.538372134124,757.441378000757,754.904519111794,857.850433854795,"Ipo11"
"ENSMUSG00000042594",434.776963024708,402.863378604423,356.645001565109,468.92857597705,437.915034642287,362.536044171302,455.932432334846,431.485964491143,"Sh2b3"
"ENSMUSG00000042595",211.708497434834,319.117162045516,229.918351262786,183.933191439274,171.060560407143,158.609519324945,269.074878099253,244.55139233771,"Fam199x"
"ENSMUSG00000042596",34.0799044651196,43.1954169619622,13.5778553895346,18.1911947577304,7.81991133289799,20.5005501168296,12.4571702823728,12.8037378187283,"Tfap2d"
"ENSMUSG00000042599",686.761711191047,889.472973767752,859.025650977888,823.656873752793,586.493349967349,581.568237524798,850.409491276652,891.140152183489,"Kdm7a"
"ENSMUSG00000042604",395.533436670934,496.306525501729,400.094138811619,357.760163568698,235.574828903552,381.957617966194,412.747575355953,376.429891870612,"Kcna4"
"ENSMUSG00000042605",1410.70149998041,1606.16427968765,1223.81736577672,1388.59453317342,1247.27585759723,1299.08749161383,1436.726972567,1417.37377653322,"Atxn2"
"ENSMUSG00000042606",692.958057457432,679.66666280965,740.445713909286,709.456595551485,914.929625949064,773.626022829833,739.955914772946,665.794366573871,"Hirip3"
"ENSMUSG00000042607",16.5235900436944,34.3800257452352,36.2076143720922,49.5204746182661,42.0320234143267,26.97440804846,22.4229065082711,40.9719610199305,"Asb4"
"ENSMUSG00000042608",718.776166900704,770.465192341938,858.120460618586,891.368543128789,615.818017465716,697.018703972206,694.279623737579,754.140157523096,"Stk40"
"ENSMUSG00000042613",1309.49451096278,1399.00258609457,1394.89834368485,1592.74016323239,1710.60560407143,1346.56244977912,1246.54750625611,1158.73827259491,"Pbxip1"
"ENSMUSG00000042616",884.012067337648,796.911365992118,834.585511276726,815.571898304913,998.016183861105,834.048696858383,874.493353822573,754.140157523096,"Oscp1"
"ENSMUSG00000042622",22.7199363100797,52.0108081786892,23.53494934186,48.509852687281,17.5948004990205,34.5272423020288,21.5924284894462,57.6168201842773,"Maff"
"ENSMUSG00000042625",2286.45177229621,2413.65411513985,2132.62848651623,2389.11024484859,3273.61038173442,2251.82358388544,2105.26177772101,2193.28028834816,"Safb2"
"ENSMUSG00000042626",249.919299410877,215.095545688138,201.857450124414,222.336824816705,189.632849822776,223.348098641249,205.128070649739,257.355130156439,"Shc1"
"ENSMUSG00000042628",912.928349914113,943.246860189786,788.420802952308,828.709983407718,752.666465791431,879.365702379796,817.190370523658,947.476598585893,"Zfyve1"
"ENSMUSG00000042631",33.0471800873887,37.0246431102533,38.0179950906969,43.4567430323559,18.5722894156327,33.4482659800904,14.1181263200225,64.0186890936414,"Xkr7"
