"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000026173",-0.0661594159586956,0.644918613398778,0.928515961754219,265.410165076841,274.158666840209,305.049151084877,289.037872261716,279.561830151103,216.874240709618,290.667306588699,295.766343612623,"Plcd4"
"ENSMUSG00000026174",-0.181734157768404,0.193286244891608,0.823352563567418,437.8751361579,477.794203946602,516.863695161617,461.854222460155,400.770455811022,339.877541410596,483.338206956066,445.570076091744,"Cnot9"
"ENSMUSG00000026175",0.0651075426449753,0.90269851172852,0.98220213134786,19.621763176887,7.93385209505428,8.14671323372075,16.1699508957603,4.88744458306124,18.3425974729528,16.6095603764971,14.0841116006011,"Vil1"
"ENSMUSG00000026176",-0.0150711586851866,0.908619661553105,0.98372397437674,500.871323199485,453.992647661439,455.31075072906,553.820818179792,554.236215719145,501.723989701356,455.101954316021,430.20559070927,"Ctdsp1"
"ENSMUSG00000026177",0.396412567886447,0.19132970622611,0.823352563567418,39.2435263537741,37.0246431102533,37.1128047313945,35.3717675844758,27.3696896651429,45.3170055214128,57.302983298915,66.5794366573871,"Slc11a1"
"ENSMUSG00000026179",0.0760925755670236,0.486778714514571,0.894377483252188,3392.499580846,3223.78856795705,3029.67213258482,3401.75341969558,3705.66048287703,3768.86429253083,2960.65413711061,3320.00921639624,"Pnkd"
"ENSMUSG00000026181",-0.117742728336432,0.346141822356072,0.857851809832914,1407.60332684721,1414.87029028468,1274.50802589765,1224.87378035385,1074.26031935686,1186.87395413224,1176.78735267482,1471.14947537188,"Ppm1f"
"ENSMUSG00000026185",-0.179332240303586,0.147791787266204,0.811188251474495,2727.4250815873,2551.17421812079,2463.02296766157,2666.02065393849,1816.17440706556,2511.8568774726,2471.50258402277,2391.73822453844,"Igfbp5"
"ENSMUSG00000026187",-0.0781391189334437,0.601830152662587,0.921456673234577,329.439076496156,379.06182231926,367.507285876736,484.087904941825,376.333232895716,378.720689000378,395.307536960631,325.214940595699,"Xrcc5"
"ENSMUSG00000026188",-0.331696795991491,0.0594318637960518,0.793884076222764,208.610324301641,223.029397783192,230.823541622088,204.145630058974,123.163603493143,172.636211510144,200.14520253679,193.336441062797,"Tmem169"
"ENSMUSG00000026189",-0.221319115083551,0.290536320256989,0.84591926813888,113.599681550399,83.7462165589063,87.8034648523237,91.966595719637,99.7038694944493,83.0811767892568,70.5906316001127,69.1401842211328,"Pecr"
"ENSMUSG00000026192",0.0155889505637948,0.876202905654517,0.97810971419344,584.521997795688,594.157368007398,579.321829953476,573.022634868507,607.998106132818,539.4881609692,597.113695535071,612.018667735212,"Atic"
"ENSMUSG00000026193",-0.191873023319481,0.132090593567106,0.811188251474495,559.736612730146,641.760480577724,560.312832408127,690.25477886277,470.172168890491,539.4881609692,592.130827422122,544.158857295952,"Fn1"
"ENSMUSG00000026197",0.371510955374923,0.049188237446668,0.776134805497783,336.668147140272,261.817119136791,312.290673959296,292.069738054671,521.97908147094,406.774073370777,337.174075642891,288.084100921386,"Zfand2b"
"ENSMUSG00000026198",0.307262246951112,0.0860481720206616,0.798481709373988,98.1088158844352,107.547772844069,109.528033475579,92.977217650622,139.780915075551,126.240229666793,136.198395087276,101.149528767953,"Abcb6"
